cell,replicate,block_id,env,onset,disturbed,leakfree,eligible,u_post,o_post,u_pre,o_pre,u_falltick,o_falltick
stand_motor,process_01,14,14,142,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,14,15,142,True,False,True,True,True,False,False,232,172
stand_motor,process_01,15,0,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,1,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,2,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,3,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,4,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,5,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,6,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,7,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,8,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,9,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,10,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,11,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,12,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,13,107,True,True,True,False,True,False,False,-1,161
stand_motor,process_01,15,14,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,15,15,107,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,16,0,200,True,False,True,False,True,False,False,-1,241
stand_motor,process_01,16,1,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,2,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,3,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,4,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,5,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,6,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,7,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,8,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,9,200,True,False,True,False,True,False,False,-1,264
stand_motor,process_01,16,10,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,11,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,12,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,13,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,14,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,16,15,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,17,0,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,17,1,143,True,False,True,False,True,False,False,-1,169
stand_motor,process_01,17,2,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,17,3,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,17,4,143,True,False,True,False,True,False,False,-1,172
stand_motor,process_01,17,5,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,17,6,143,True,False,True,False,True,False,False,-1,213
stand_motor,process_01,17,7,143,True,False,True,False,True,False,False,-1,176
stand_motor,process_01,17,8,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,17,9,143,True,False,True,False,True,False,False,-1,264
stand_motor,process_01,17,10,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,17,11,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,17,12,143,True,False,True,False,True,False,False,-1,173
stand_motor,process_01,17,13,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,17,14,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,17,15,143,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,18,0,108,True,True,True,False,True,False,False,-1,151
stand_motor,process_01,18,1,108,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,18,2,108,True,True,True,False,True,False,False,-1,134
stand_motor,process_01,18,3,108,True,True,True,False,True,False,False,-1,145
stand_motor,process_01,18,4,108,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,18,5,108,True,True,True,False,True,False,False,-1,170
stand_motor,process_01,18,6,108,True,True,True,False,True,False,False,-1,133
stand_motor,process_01,18,7,108,True,True,True,False,True,False,False,-1,142
stand_motor,process_01,18,8,108,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,18,9,108,True,True,True,False,True,False,False,-1,131
stand_motor,process_01,18,10,108,True,True,True,False,True,False,False,-1,145
stand_motor,process_01,18,11,108,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,18,12,108,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,18,13,108,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,18,14,108,True,True,True,False,True,False,False,-1,162
stand_motor,process_01,18,15,108,True,True,True,False,False,False,False,-1,-1
stand_motor,process_01,19,0,179,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,19,1,179,True,False,True,False,True,False,False,-1,210
stand_motor,process_01,19,2,179,True,False,True,False,True,False,False,-1,245
stand_motor,process_01,19,3,179,True,False,True,False,True,False,False,-1,232
stand_motor,process_01,19,4,179,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,19,5,179,True,False,True,True,True,False,False,224,211
stand_motor,process_01,19,6,179,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,19,7,179,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,19,8,179,True,False,True,False,True,False,False,-1,213
stand_motor,process_01,19,9,179,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,19,10,179,True,False,True,False,True,False,False,-1,224
stand_motor,process_01,19,11,179,True,False,True,False,True,False,False,-1,200
stand_motor,process_01,19,12,179,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,19,13,179,True,False,True,True,True,False,False,250,206
stand_motor,process_01,19,14,179,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,19,15,179,True,False,True,True,True,False,False,217,198
stand_motor,process_01,20,0,135,True,False,True,False,True,False,False,-1,182
stand_motor,process_01,20,1,135,True,False,True,True,True,False,False,268,166
stand_motor,process_01,20,2,135,True,False,True,False,True,False,False,-1,415
stand_motor,process_01,20,3,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,20,4,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,20,5,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,20,6,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,20,7,135,True,False,True,True,True,False,False,170,160
stand_motor,process_01,20,8,135,True,False,True,False,True,False,False,-1,170
stand_motor,process_01,20,9,135,True,False,True,False,True,False,False,-1,163
stand_motor,process_01,20,10,135,True,False,True,False,True,False,False,-1,179
stand_motor,process_01,20,11,135,True,False,True,False,True,False,False,-1,208
stand_motor,process_01,20,12,135,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,20,13,135,True,False,True,True,True,False,False,185,152
stand_motor,process_01,20,14,135,True,False,True,False,True,False,False,-1,161
stand_motor,process_01,20,15,135,True,False,True,True,True,False,False,185,156
stand_motor,process_01,21,0,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,1,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,2,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,3,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,4,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,5,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,6,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,7,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,8,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,9,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,10,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,11,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,12,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,13,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,14,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,21,15,188,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,22,0,131,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,22,1,131,True,False,True,False,True,False,False,-1,186
stand_motor,process_01,22,2,131,True,False,True,True,True,False,False,212,156
stand_motor,process_01,22,3,131,True,False,True,True,True,False,False,153,151
stand_motor,process_01,22,4,131,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,22,5,131,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,22,6,131,True,False,True,True,True,False,False,162,153
stand_motor,process_01,22,7,131,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,22,8,131,True,False,True,True,True,False,False,159,149
stand_motor,process_01,22,9,131,True,False,True,True,True,False,False,176,157
stand_motor,process_01,22,10,131,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,22,11,131,True,False,True,False,True,False,False,-1,188
stand_motor,process_01,22,12,131,True,False,True,False,True,False,False,-1,158
stand_motor,process_01,22,13,131,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,22,14,131,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,22,15,131,True,False,True,True,True,False,False,191,207
stand_motor,process_01,23,0,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,1,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,2,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,3,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,4,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,5,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,6,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,7,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,8,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,9,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,10,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,11,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,12,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,13,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,14,200,True,False,True,False,False,False,False,-1,-1
stand_motor,process_01,23,15,200,True,False,True,False,False,False,False,-1,-1
