cell,replicate,policy,family,block_id,block_index,onset,disturbed,seed,obs_noise,motor_scale,command_speed,divergent,leakfree,onset_obs_maxdiff,n_eligible,u_post_rate,o_post_rate,effect,u_pre_rate,o_pre_rate,pre_effect,u_fell,o_fell,u_falltick_med,u_task,o_task,pre_fall_env_diff
walk_motor,process_01,walk,motor,19,19,173,True,605278079,,0.4466290344566588,,True,False,8.147997856140137,14,0.5714285714285714,0.6428571428571429,-0.07142857142857151,0.125,0.125,0.0,0.625,0.6875,169.0,0.375,0.3125,0
walk_motor,process_01,walk,motor,20,20,127,True,517053998,,0.3566277987315923,,True,False,2.7190301418304443,15,0.8666666666666667,0.8666666666666667,0.0,0.0625,0.0625,0.0,0.875,0.875,143.5,0.125,0.125,0
walk_motor,process_01,walk,motor,21,21,200,True,1975602294,,0.5066582638024828,,True,False,5.729337692260742,13,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.125,0.125,0.0,0.25,0.25,-1.0,0.75,0.75,2
walk_motor,process_01,walk,motor,22,22,200,True,1874308667,,0.39830852197983346,,True,False,3.6597344875335693,15,0.4,0.7333333333333333,-0.33333333333333326,0.0625,0.0625,0.0,0.4375,0.75,-1.0,0.5625,0.25,0
walk_motor,process_01,walk,motor,23,23,133,True,674574363,,0.36795611512887877,,True,False,2.910301446914673,15,0.8666666666666667,0.8666666666666667,0.0,0.0625,0.0625,0.0,0.875,0.875,152.5,0.125,0.125,0
walk_motor,process_01,walk,motor,24,24,175,True,1335433948,,0.5060001689425627,,True,False,7.410235404968262,15,0.13333333333333333,0.2,-0.06666666666666668,0.0625,0.0625,0.0,0.1875,0.25,-1.0,0.8125,0.75,0
walk_motor,process_01,walk,motor,25,25,184,True,594028264,,0.37232218503606945,,True,False,4.103690147399902,14,0.7142857142857143,0.7857142857142857,-0.0714285714285714,0.125,0.0625,0.0625,0.75,0.8125,206.5,0.25,0.1875,1
walk_motor,process_01,walk,motor,26,26,123,True,1604002469,,0.5016694356379932,,True,False,5.014190673828125,16,0.3125,0.25,0.0625,0.0,0.0,0.0,0.3125,0.25,-1.0,0.6875,0.75,0
walk_motor,process_01,walk,motor,27,27,147,True,195179175,,0.31817164963163985,,True,False,5.526944160461426,13,0.46153846153846156,0.6153846153846154,-0.15384615384615385,0.1875,0.1875,0.0,0.5625,0.6875,82.0,0.4375,0.3125,0
walk_motor,process_01,walk,motor,28,28,190,True,686863732,,0.44901732479117873,,True,False,7.302265167236328,14,0.6428571428571429,0.6428571428571429,0.0,0.125,0.125,0.0,0.6875,0.6875,201.5,0.3125,0.3125,0
walk_motor,process_01,walk,motor,29,29,199,True,977041633,,0.48052166152587683,,True,False,2.872988700866699,15,0.26666666666666666,0.2,0.06666666666666665,0.0625,0.0625,0.0,0.3125,0.25,-1.0,0.6875,0.75,0
walk_motor,process_01,walk,motor,30,30,130,True,671941036,,0.4236118888403138,,True,False,2.794395685195923,15,0.7333333333333333,0.7333333333333333,0.0,0.0625,0.0625,0.0,0.75,0.75,146.0,0.25,0.25,0
walk_motor,process_01,walk,motor,31,31,103,True,822794278,,0.5156105239201981,,False,True,0.0,16,0.25,0.375,-0.125,0.0,0.0,0.0,0.25,0.375,-1.0,0.75,0.625,0
walk_motor,process_01,walk,motor,32,32,113,False,1784387644,,,,False,True,0.0,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
walk_motor,process_01,walk,motor,33,33,190,False,1649547532,,,,True,False,2.8265464305877686,0,,,,0.125,0.125,0.0,0.125,0.125,-1.0,0.875,0.875,0
walk_motor,process_01,walk,motor,34,34,154,False,165591895,,,,True,False,6.020166873931885,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
walk_motor,process_01,walk,motor,35,35,184,False,1052987212,,,,True,False,2.9290246963500977,0,,,,0.0625,0.0625,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,0
walk_motor,process_01,walk,motor,36,36,133,False,1984888997,,,,True,False,6.521790981292725,0,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0
walk_motor,process_01,walk,motor,37,37,189,False,948327484,,,,True,False,3.491349697113037,0,,,,0.0625,0.0625,0.0,0.0625,0.0625,-1.0,0.9375,0.9375,0
